context_3,context_2,context_1,response
,"Обижают, да?","Да не, я удаляю😂","Если че, свисти, мне есть, чем ответить 😎"
"Обижают, да?","Да не, я удаляю😂","Если че, свисти, мне есть, чем ответить 😎",Не сомневаюсь даже😂😂😂
"Да не, я удаляю😂","Если че, свисти, мне есть, чем ответить 😎",Не сомневаюсь даже😂😂😂,😏😏😏
"Если че, свисти, мне есть, чем ответить 😎",Не сомневаюсь даже😂😂😂,😏😏😏,
Не сомневаюсь даже😂😂😂,😏😏😏,,😎
,,,Показывай пальцем буду карать
,,Показывай пальцем буду карать,Да я хрен знаю кто они😂
,,,По русски же написал😂
,,По русски же написал😂,Пусть на своих женится🤣🤣🤣🤣
,,,Ура обед
,,Ура обед,🐁🐁🐈ня
,,,давай показывай кто личку шатает🤗🤗
,,,Э
,,Э,Черный юмор тоже юмор
,,,🖐
,,🖐,Так что не стоит удивляться
,,,Жену то мою не трогай
,,Жену то мою не трогай,"Пахдон, моя не знать"
,Жену то мою не трогай,"Пахдон, моя не знать",Харашо
,,,Вещьмешок
,,Вещьмешок,📔
,,,Ранец
,,Ранец,Спиздить себе куст с ждц
,,,Портфель
,,Портфель,
,,,Не ну чужие жены это святое
,,Не ну чужие жены это святое,Ведущий был выбран!
,Не ну чужие жены это святое,Ведущий был выбран!,"""Ворона"" - найди ошибку"
Не ну чужие жены это святое,Ведущий был выбран!,"""Ворона"" - найди ошибку","ворон
воронка
корона"
Ведущий был выбран!,"""Ворона"" - найди ошибку","ворон
воронка
корона",Ведущий был выбран!
,,,👍😘
,,👍😘,
,,,"Такс короче, голова заболела. Слишком много мозг напрягаю. Пойду молочка выпью"
,,"Такс короче, голова заболела. Слишком много мозг напрягаю. Пойду молочка выпью",Украшение в нос
,"Такс короче, голова заболела. Слишком много мозг напрягаю. Пойду молочка выпью",Украшение в нос,"пирсинг
серьга
кольцо
колечко"
"Такс короче, голова заболела. Слишком много мозг напрягаю. Пойду молочка выпью",Украшение в нос,"пирсинг
серьга
кольцо
колечко",Ведущий был выбран!
Украшение в нос,"пирсинг
серьга
кольцо
колечко",Ведущий был выбран!,Типа маленькая гитара
"пирсинг
серьга
кольцо
колечко",Ведущий был выбран!,Типа маленькая гитара,I want to marry an American girl
,,,гусли
,,гусли,Это не гитара
,гусли,Это не гитара,Я заплачу тебе 10 тысяч долларов за свадьбу
гусли,Это не гитара,Я заплачу тебе 10 тысяч долларов за свадьбу,Я согласен!
,,,Укулеле
,,Укулеле,балалайка
,Укулеле,балалайка,Ведущий был выбран!
Укулеле,балалайка,Ведущий был выбран!,слово я это не запомнил
,,,маленькая со струнами
,,маленькая со струнами,"Ок, я про муз школу забываю"
,маленькая со струнами,"Ок, я про муз школу забываю",давно пора
,,Укулеле,ок
,,,Бля🤣🤣🤣
,,Бля🤣🤣🤣,
,Бля🤣🤣🤣,,Ворвался🤣🤣🤣
,,,"Эдик, тебе нравится барышня и ты ее ведёшь на"
,,"Эдик, тебе нравится барышня и ты ее ведёшь на",Кровать
,"Эдик, тебе нравится барышня и ты ее ведёшь на",Кровать,Ты то точно сразу в кровать😂
"Эдик, тебе нравится барышня и ты ее ведёшь на",Кровать,Ты то точно сразу в кровать😂,😏😏😏😏😏😏
,,,свидание
,,свидание,Ведущий был выбран!
,,,Погост
,,Погост,Романтика 😂
,Погост,Романтика 😂,
,,,😂😂😂😂😂
,,😂😂😂😂😂,🤣🤣🤣🤣
,,,В аэропорту
,,В аэропорту,"самолет
пассажир"
,,,эксколатор
,,эксколатор,Эскалатор
,,,"как пишется
экскаватор"
,,"как пишется
экскаватор",Терминал
,"как пишется
экскаватор",Терминал,Имеет нумерацию
,,,Смарите какая чупокабра
,,Смарите какая чупокабра,
,Смарите какая чупокабра,,Ля Марго Робби играла в 3ем лишнем?
Смарите какая чупокабра,,Ля Марго Робби играла в 3ем лишнем?,Ага)
,Ля Марго Робби играла в 3ем лишнем?,Ага),Не не было ее
,,,Ведущий был выбран!
,,Ведущий был выбран!,😎
,Ведущий был выбран!,😎,Как борода по бокам обрастает сразу морда шире😂
Ведущий был выбран!,😎,Как борода по бокам обрастает сразу морда шире😂,"Стремление, чтобы все было идеально."
😎,Как борода по бокам обрастает сразу морда шире😂,"Стремление, чтобы все было идеально.",перфекционизм
Как борода по бокам обрастает сразу морда шире😂,"Стремление, чтобы все было идеально.",перфекционизм,Перфекционизм
"Стремление, чтобы все было идеально.",перфекционизм,Перфекционизм,Охуеть
перфекционизм,Перфекционизм,Охуеть,перфекционист
Перфекционизм,Охуеть,перфекционист,Ведущий был выбран!
Охуеть,перфекционист,Ведущий был выбран!,Перфекционизм
,,,Запрет
,,Запрет,Вето
,,,Табу
,,Табу,Табу
,Табу,Табу,Ведущий был выбран!
Табу,Табу,Ведущий был выбран!,😑
,,,Кто-нибудь отсюда имеет гражданство США?
,,Кто-нибудь отсюда имеет гражданство США?,Да
,,,Глянул актеров
,,,После операции иногда ставится специальная трубка
,,После операции иногда ставится специальная трубка,Катетер
,После операции иногда ставится специальная трубка,Катетер,Не
,,,Это из разных фильмов
,,Это из разных фильмов,"Ну может быть, я давно смотрела)"
,Это из разных фильмов,"Ну может быть, я давно смотрела)",Плюс
,,,"Другая
Я понял что это название не знаю"
,,"Другая
Я понял что это название не знаю",Дренаж
,"Другая
Я понял что это название не знаю",Дренаж,Ведущий был выбран!
,,,А ты хорош
,,А ты хорош,Не обманывайся
,А ты хорош,Не обманывайся,Всм?
А ты хорош,Не обманывайся,Всм?,Не думай так сразу о таком как я) все же просто
Не обманывайся,Всм?,Не думай так сразу о таком как я) все же просто,Это просто была вежливость)
Всм?,Не думай так сразу о таком как я) все же просто,Это просто была вежливость),Потому из вежливости и сказал в ответ)
,,,Где пекут в промышленных масштабах
,,Где пекут в промышленных масштабах,Хлебозавод
,,,Пекарня
,,Пекарня,пекарня
,,,хлебзавод
,,хлебзавод,"Да, но одной буквы не хватает"
,,,"хлеб завод
хлебокомбинат
хлебозавод"
,,"хлеб завод
хлебокомбинат
хлебозавод",Ведущий был выбран!
,"хлеб завод
хлебокомбинат
хлебозавод",Ведущий был выбран!,Милейшиство☺️
,,,"Есть в женской косметичке, а также есть сахарная"
,,"Есть в женской косметичке, а также есть сахарная",Пудра
,,,пудра
,,пудра,Пудра
,пудра,Пудра,Ведущий был выбран!
,,,"Мелочность, во всем хотеть выгоду"
,,"Мелочность, во всем хотеть выгоду",Пидорство
,"Мелочность, во всем хотеть выгоду",Пидорство,Ну тут по факту
,,,Алчность
,,Алчность,крохобор
,,,М
,,М,Меркантильность
,,,Корысть
,,Корысть,Ведущий был выбран!
,,,Жадный
,,Жадный,"Хуй,Говно и Муравей"
,Жадный,"Хуй,Говно и Муравей",Начало анекдота
Жадный,"Хуй,Говно и Муравей",Начало анекдота,как-то Норм пацанчики собрались)
,,,"Алчный
алчность"
,,,жадина
,,жадина,Еще
,,,Жопашник
,,Жопашник,"крохобор
жадинка
жаденышь
жаба"
,Жопашник,"крохобор
жадинка
жаденышь
жаба",Скупой
Жопашник,"крохобор
жадинка
жаденышь
жаба",Скупой,скупость
,,,"Ну мы человеку не говорим жадина, а обычно кратко"
,,"Ну мы человеку не говорим жадина, а обычно кратко",ФНС рф
,"Ну мы человеку не говорим жадина, а обычно кратко",ФНС рф,Чо это?
"Ну мы человеку не говорим жадина, а обычно кратко",ФНС рф,Чо это?,Федеральная налоговая служба Российской Федерации
ФНС рф,Чо это?,Федеральная налоговая служба Российской Федерации,Ок
,,,жлоб
,,жлоб,Почти
,,,Чорт
,,Чорт,"жлобина
жлобик"
,Чорт,"жлобина
жлобик",...т
Чорт,"жлобина
жлобик",...т,жмот
"жлобина
жлобик",...т,жмот,Ведущий был выбран!
,,,Траурная ...
,,Траурная ...,Процессия
,,,"лента
плита
церемония"
,,"лента
плита
церемония",Люди идут
,"лента
плита
церемония",Люди идут,"дорога
дорожка"
"лента
плита
церемония",Люди идут,"дорога
дорожка",Ведущий был выбран!
Люди идут,"дорога
дорожка",Ведущий был выбран!,На спичке
"дорога
дорожка",Ведущий был выбран!,На спичке,головка
,,,сера
,,сера,Да что ты такой быстрый😂
,сера,Да что ты такой быстрый😂,Пальцы сильные
,,,Сера
,,Сера,Завтра приходи
,Сера,Завтра приходи,Ведущий был выбран!
Сера,Завтра приходи,Ведущий был выбран!,Наш любимый Саша из Крыма
,,,Енот
,,Енот,Полностью
,,,енотик
,,енотик,Ведущий был выбран!
,енотик,Ведущий был выбран!,енот полоскун
,,,Шахматная фигура
,,Шахматная фигура,Слон
,,,Пешка
,,Пешка,Ладья
,Пешка,Ладья,Ладья
Пешка,Ладья,Ладья,Ладья
Ладья,Ладья,Ладья,Ведущий был выбран!
Ладья,Ладья,Ведущий был выбран!,Ферзь
Ладья,Ведущий был выбран!,Ферзь,"конь
попа"
Ведущий был выбран!,Ферзь,"конь
попа",Ведущий был выбран!
,,,Тверк
,,Тверк,Рил
,,,😂
,,,"Вай, что за мужчина"
,,"Вай, что за мужчина","А вы, я смотрю, любите мужской тверк😏"
,"Вай, что за мужчина","А вы, я смотрю, любите мужской тверк😏",Естественно)
,,,Оййй мляяя
,,,Я через пару лет
,,Я через пару лет,😂😂😂
,Я через пару лет,😂😂😂,Ну а шр
Я через пару лет,😂😂😂,Ну а шр,Чего делаешь ?)
😂😂😂,Ну а шр,Чего делаешь ?),"Дежурю, а ты?)"
Ну а шр,Чего делаешь ?),"Дежурю, а ты?)",Валяюсь)
Чего делаешь ?),"Дежурю, а ты?)",Валяюсь),И как?)
"Дежурю, а ты?)",Валяюсь),И как?),Хорошо)
Валяюсь),И как?),Хорошо),Как день?)
И как?),Хорошо),Как день?),Отлично)
Хорошо),Как день?),Отлично),Чем запомнился день?
Как день?),Отлично),Чем запомнился день?,Котик живот кусал))
Отлично),Чем запомнился день?,Котик живот кусал)),Оте мило)
Чем запомнился день?,Котик живот кусал)),Оте мило),
Котик живот кусал)),Оте мило),,Мур 😂
,,,жопотряс
,,,Это не твоя лиса)))
,,Это не твоя лиса))),
,,,Всем споки
,,Всем споки,Спокойной 😘😊
,,,Это по западной астрологии)
,,Это по западной астрологии),я весы
,Это по западной астрологии),я весы,И я❤
,,,Сладких)
,,Сладких),Ты убегаешь? (
,Сладких),Ты убегаешь? (,Мнение под чьим-то постом или фразой. Также на покупку
Сладких),Ты убегаешь? (,Мнение под чьим-то постом или фразой. Также на покупку,Я скорпион
Ты убегаешь? (,Мнение под чьим-то постом или фразой. Также на покупку,Я скорпион,"Сладких снов, Андрюш"
Мнение под чьим-то постом или фразой. Также на покупку,Я скорпион,"Сладких снов, Андрюш",Бобреньких!
Я скорпион,"Сладких снов, Андрюш",Бобреньких!,"комментраий
комментарий"
"Сладких снов, Андрюш",Бобреньких!,"комментраий
комментарий",Через час вернусь
Бобреньких!,"комментраий
комментарий",Через час вернусь,Ведущий был выбран!
,,,Я Дева
,,Я Дева,Вредные вы😂
,,,Где подогревают воду?)
,,Где подогревают воду?),"чайник
котел"
,Где подогревают воду?),"чайник
котел",Ведущий был выбран!
Где подогревают воду?),"чайник
котел",Ведущий был выбран!,котелок
"чайник
котел",Ведущий был выбран!,котелок,У бублика
,,,дырка
,,дырка,😡
,дырка,😡,
,,Ведущий был выбран!,"Она нужна для выпички, блинов"
,Ведущий был выбран!,"Она нужна для выпички, блинов","сковородка
сковорода"
Ведущий был выбран!,"Она нужна для выпички, блинов","сковородка
сковорода",Состав
"Она нужна для выпички, блинов","сковородка
сковорода",Состав,тесто
"сковородка
сковорода",Состав,тесто,Смесь
Состав,тесто,Смесь,"молоко
дрожжи"
тесто,Смесь,"молоко
дрожжи",Она
Смесь,"молоко
дрожжи",Она,ваниль
"молоко
дрожжи",Она,ваниль,Правда???
,,,плитка
,,плитка,Да состав😂
,плитка,Да состав😂,
,,,плита
,,,Мука
,,Мука,Урааа
,,,манка
,,манка,Ведущий был выбран!
,манка,Ведущий был выбран!,сложно
,,,друг одиноких дам когда нет мужика😌😌😌
,,друг одиноких дам когда нет мужика😌😌😌,Это по моей части😂
,друг одиноких дам когда нет мужика😌😌😌,Это по моей части😂,давай я буду твоим другом😏😘
друг одиноких дам когда нет мужика😌😌😌,Это по моей части😂,давай я буду твоим другом😏😘,Не рискуй)))) не вывезешь))
Это по моей части😂,давай я буду твоим другом😏😘,Не рискуй)))) не вывезешь)),
давай я буду твоим другом😏😘,Не рискуй)))) не вывезешь)),,Ну если от смертник))) по пожалуйста))
,,,Любовник
,,Любовник,Вибратор
,Любовник,Вибратор,"дилдо
выбритор"
Любовник,Вибратор,"дилдо
выбритор",😂😂😂
Вибратор,"дилдо
выбритор",😂😂😂,Ведущий был выбран!
"дилдо
выбритор",😂😂😂,Ведущий был выбран!,Вот именно)))
,,,Приветствую))
,,Приветствую)),Приветик 😘😍😊
,Приветствую)),Приветик 😘😍😊,Здравствуй 🤗😘
,,,Приветик)
,,Приветик),Привет ✌️ как делишки у тебя?
,Приветик),Привет ✌️ как делишки у тебя?,Отлично) У тебя как?
Приветик),Привет ✌️ как делишки у тебя?,Отлично) У тебя как?,Тоже прекрасно 👌
Привет ✌️ как делишки у тебя?,Отлично) У тебя как?,Тоже прекрасно 👌,Чего не спишь?
Отлично) У тебя как?,Тоже прекрасно 👌,Чего не спишь?,Я поздно встаю🙈а ты чего?
Тоже прекрасно 👌,Чего не спишь?,Я поздно встаю🙈а ты чего?,Я работаю)
Чего не спишь?,Я поздно встаю🙈а ты чего?,Я работаю),Ночная смена?)
Я поздно встаю🙈а ты чего?,Я работаю),Ночная смена?),Ага
Я работаю),Ночная смена?),Ага,Тяжело?)
Ночная смена?),Ага,Тяжело?),Да я уже привыкла) Да и бессонница обычно
Ага,Тяжело?),Да я уже привыкла) Да и бессонница обычно,Теперь днём не сможешь работать?😏
Тяжело?),Да я уже привыкла) Да и бессонница обычно,Теперь днём не сможешь работать?😏,Да) Днём я спать всё время хочу😂
Да я уже привыкла) Да и бессонница обычно,Теперь днём не сможешь работать?😏,Да) Днём я спать всё время хочу😂,"Другой режим😏ты совушка значит,мудрая головушка 😌😁"
Теперь днём не сможешь работать?😏,Да) Днём я спать всё время хочу😂,"Другой режим😏ты совушка значит,мудрая головушка 😌😁",Точно) Ночью себя прям комфортно чувствую)
Да) Днём я спать всё время хочу😂,"Другой режим😏ты совушка значит,мудрая головушка 😌😁",Точно) Ночью себя прям комфортно чувствую),"Ну главное, чтоб комфортно было 😋"
"Другой режим😏ты совушка значит,мудрая головушка 😌😁",Точно) Ночью себя прям комфортно чувствую),"Ну главное, чтоб комфортно было 😋",Только не кайф в выходные днём спать(((
Точно) Ночью себя прям комфортно чувствую),"Ну главное, чтоб комфортно было 😋",Только не кайф в выходные днём спать(((,Жалко выходные на сон?))
,,,Какие люди
,,Какие люди,Какие?👀
,Какие люди,Какие?👀,Такие
Какие люди,Какие?👀,Такие,Логика 😏
Какие?👀,Такие,Логика 😏,Ес)
Такие,Логика 😏,Ес),Что ты там?))
Логика 😏,Ес),Что ты там?)),"Отлично, а ты?)"
Ес),Что ты там?)),"Отлично, а ты?)",Я тоже в порядке 😁
,,,Ты же пидружка 😂
,,Ты же пидружка 😂,Звучит такое)))))
,Ты же пидружка 😂,Звучит такое))))),
Ты же пидружка 😂,Звучит такое))))),,Но он по хочу не врубился)))))
Звучит такое))))),,Но он по хочу не врубился))))),Так это он так и назвал 😂
,Но он по хочу не врубился))))),Так это он так и назвал 😂,"Лошара))))) ой, я это вслух сказала)))"
,,,"Без шофёра и без колёс,  а домой меня привёз"
,,"Без шофёра и без колёс,  а домой меня привёз","трамвай
санки"
,,,лед
,,лед,Л...
,лед,Л...,
,,,ветер
,,ветер,😳
,,,😳
,,😳,новигатор
,,,навигатор
,,навигатор,👍
,,,лифт
,,лифт,Ведущий был выбран!
,лифт,Ведущий был выбран!,когда намеренно истребляют какой-то народ
,,,геноциз
,,геноциз,
,,,"халокост
чистка"
,,,Геноцид
,,Геноцид,ПРИВЕЕЕЙТЬ НАСТЁНА🤗🤗🤗
,Геноцид,ПРИВЕЕЕЙТЬ НАСТЁНА🤗🤗🤗,Приветик 🤗 как поживаешь?
Геноцид,ПРИВЕЕЕЙТЬ НАСТЁНА🤗🤗🤗,Приветик 🤗 как поживаешь?,Нормуль
ПРИВЕЕЕЙТЬ НАСТЁНА🤗🤗🤗,Приветик 🤗 как поживаешь?,Нормуль,Как погода у вас?)
Приветик 🤗 как поживаешь?,Нормуль,Как погода у вас?),так себе то солнце то дождь
Нормуль,Как погода у вас?),так себе то солнце то дождь,У нас также)
Как погода у вас?),так себе то солнце то дождь,У нас также),я в коломне сейчас.
,,,"а кто жаворонок, какая там рифма должна быть?"
,,"а кто жаворонок, какая там рифма должна быть?",Не знаю даже 😏😁
,,,кто рано встаёт тому бог подаёт
,,кто рано встаёт тому бог подаёт,баян(
,кто рано встаёт тому бог подаёт,баян(,а чо ты хотела
,,,Лучшее средство от похмелья
,,,рассол
,,рассол,
,рассол,,
рассол,,,Бесишь же😂😂😂😂😂😂
,,Бесишь же😂😂😂😂😂😂,Тренируйся ещё😸
,,,Рассол
,,Рассол,аспирин
,Рассол,аспирин,Ведущий был выбран!
Рассол,аспирин,Ведущий был выбран!,Порода собаки. Охотничья
аспирин,Ведущий был выбран!,Порода собаки. Охотничья,"лайка
гончая
такса
волкодав"
Ведущий был выбран!,Порода собаки. Охотничья,"лайка
гончая
такса
волкодав",Вот и я говорю!!!
Порода собаки. Охотничья,"лайка
гончая
такса
волкодав",Вот и я говорю!!!,Теръер
"лайка
гончая
такса
волкодав",Вот и я говорю!!!,Теръер,Среднего размера
Вот и я говорю!!!,Теръер,Среднего размера,Спаниель
Теръер,Среднего размера,Спаниель,Лайка
Среднего размера,Спаниель,Лайка,Б
Спаниель,Лайка,Б,бигль
Лайка,Б,бигль,3
Б,бигль,3,Бультерьер
бигль,3,Бультерьер,Ведущий был выбран!
3,Бультерьер,Ведущий был выбран!,"Опять киок
Крок"
Бультерьер,Ведущий был выбран!,"Опять киок
Крок","человек, который за чем-то или кем-то следит"
Ведущий был выбран!,"Опять киок
Крок","человек, который за чем-то или кем-то следит",Шпион
"Опять киок
Крок","человек, который за чем-то или кем-то следит",Шпион,"сыщик
следопыт"
"человек, который за чем-то или кем-то следит",Шпион,"сыщик
следопыт",Ведущий был выбран!
Шпион,"сыщик
следопыт",Ведущий был выбран!,Оо
"сыщик
следопыт",Ведущий был выбран!,Оо,партизан
Ведущий был выбран!,Оо,партизан,"пластиковая, бумажная, картонная 
заворачивают в неё"
Оо,партизан,"пластиковая, бумажная, картонная 
заворачивают в неё",упаковка
партизан,"пластиковая, бумажная, картонная 
заворачивают в неё",упаковка,Коробка
"пластиковая, бумажная, картонная 
заворачивают в неё",упаковка,Коробка,Бумага
упаковка,Коробка,Бумага,Ведущий был выбран!
Коробка,Бумага,Ведущий был выбран!,"Рр
Не успеваешь слово написать"
,,,Вид боевых искусств
,,Вид боевых искусств,Карате
,,,"самбо
борьба"
,,,Бокс
,,Бокс,Похоже
,,,кунг-фу
,,кунг-фу,тхэквондо
,кунг-фу,тхэквондо,ушу
кунг-фу,тхэквондо,ушу,Айкидо
тхэквондо,ушу,Айкидо,"каратэ
бокс
борьба"
ушу,Айкидо,"каратэ
бокс
борьба",кикбоксинг
Айкидо,"каратэ
бокс
борьба",кикбоксинг,Дзю-до
"каратэ
бокс
борьба",кикбоксинг,Дзю-до,Ведущий был выбран!
кикбоксинг,Дзю-до,Ведущий был выбран!,"Женщина, которая говорит на хинди"
Дзю-до,Ведущий был выбран!,"Женщина, которая говорит на хинди","хинди
чо
такое"
Ведущий был выбран!,"Женщина, которая говорит на хинди","хинди
чо
такое",Индианка
"Женщина, которая говорит на хинди","хинди
чо
такое",Индианка,Индуска
"хинди
чо
такое",Индианка,Индуска,Ведущий был выбран!
,,,Внатуре вы суетологи🔥
,,Внатуре вы суетологи🔥,
,,,🔥🔥🔥
,,🔥🔥🔥,До крещения Руси было
,🔥🔥🔥,До крещения Руси было,язычество
🔥🔥🔥,До крещения Руси было,язычество,Ведущий был выбран!
,,,"Апрель, звание, которое похоже на Ваше"
,,"Апрель, звание, которое похоже на Ваше",Наше*
,"Апрель, звание, которое похоже на Ваше",Наше*,
"Апрель, звание, которое похоже на Ваше",Наше*,,
,,,Подполковник
,,Подполковник,Ведущий был выбран!
,,,Самая быстрая рука на Диком Западе 😂
,,Самая быстрая рука на Диком Западе 😂,Апрель быстрые руки
,,,Ищу смелую пошлую подругу
,,Ищу смелую пошлую подругу,Мужское имя
,Ищу смелую пошлую подругу,Мужское имя,"олег
дима"
Ищу смелую пошлую подругу,Мужское имя,"олег
дима",Василий
Мужское имя,"олег
дима",Василий,дмитрий
"олег
дима",Василий,дмитрий,Всем доброй ночи 👋
Василий,дмитрий,Всем доброй ночи 👋,Стоп
дмитрий,Всем доброй ночи 👋,Стоп,Иван
Всем доброй ночи 👋,Стоп,Иван,Александр
Стоп,Иван,Александр,Сергей
Иван,Александр,Сергей,"Алексей
Михаил"
Александр,Сергей,"Алексей
Михаил","С таким именем есть певец, который про бродягу пел"
Сергей,"Алексей
Михаил","С таким именем есть певец, который про бродягу пел",Кондрат
"Алексей
Михаил","С таким именем есть певец, который про бродягу пел",Кондрат,Андрей
"С таким именем есть певец, который про бродягу пел",Кондрат,Андрей,Эльдар
Кондрат,Андрей,Эльдар,Леонид
Андрей,Эльдар,Леонид,Леонид
Эльдар,Леонид,Леонид,Михаил
Леонид,Леонид,Михаил,сергей
Леонид,Михаил,сергей,Георгий
Михаил,сергей,Георгий,Андрей
сергей,Георгий,Андрей,"Леонид
Николай"
,,,Валерий
,,Валерий,Меладзе😂
,Валерий,Меладзе😂,Я не знаю его песни😏
Валерий,Меладзе😂,Я не знаю его песни😏,Брат мужа Брежневой)))
Меладзе😂,Я не знаю его песни😏,Брат мужа Брежневой))),Меладзе я знаю)но песни не слушаю😏
,,,"какую бродягу
собаку"
,,"какую бродягу
собаку",Ведущий был выбран!
,"какую бродягу
собаку",Ведущий был выбран!,"или чела
сказала бы про дельтоплан"
"какую бродягу
собаку",Ведущий был выбран!,"или чела
сказала бы про дельтоплан",Наугад))
Ведущий был выбран!,"или чела
сказала бы про дельтоплан",Наугад)),Я про него вообще забыла.
"или чела
сказала бы про дельтоплан",Наугад)),Я про него вообще забыла.,Та же фигня😂
Наугад)),Я про него вообще забыла.,Та же фигня😂,"Страус есть Нанду, а второй подвид мелкий"
Я про него вообще забыла.,Та же фигня😂,"Страус есть Нанду, а второй подвид мелкий",нига
Та же фигня😂,"Страус есть Нанду, а второй подвид мелкий",нига,Эму
